method,stage,seed,sweep,seconds,rank,signal_rmse,observation_rmse,noise_sd,loading_variance,elbo,expected_log_likelihood,kl_loading,kl_feature,row_regularization,column_regularization,penalized_elbo,package_negative_elbo,package_score_discrepancy,min_loading_kl,min_feature_kl,current_covariates_match_fitted,fit_seconds,uncontended_timing,final_network_state_entries
mean,cgb,1,10,18.79578639997635,6,0.18219998478889465,1.2385706901550293,1.25059974193573,0.8083701133728027,-336904.51112055697,-328512.3426787845,6295.843505859375,2096.324935913086,-466.74054920327814,-62.6293363571167,-337433.8810061174,336904.5,-0.011120556970126927,32.8411865234375,35.19523620605469,True,18.79578639997635,True,26252
mean,cgb,2,10,18.662684100010665,4,0.16757328808307648,1.238197922706604,1.2497481107711792,1.149271845817566,-336551.8069575612,-328376.11854203383,6165.6822509765625,2010.0061645507812,-463.187315144783,-65.36057090759277,-337080.3548436136,336551.8125,0.005542438826523721,913.9547119140625,420.2222900390625,True,18.662684100010665,False,17384
mean,cgb,3,10,20.890807400021004,5,0.17469151318073273,1.2360774278640747,1.2476294040679932,0.9250583648681641,-336007.2801677628,-328036.75831717683,5989.71826171875,1980.8035888671875,-463.0698741402371,-67.37570068240166,-336537.72574258543,336007.28125,0.00108223722781986,12.748046875,8.56134033203125,True,20.890807400021004,False,0
mean,cgb,4,10,21.253101599984802,6,0.1748550534248352,1.238622784614563,1.2505629062652588,0.7738251686096191,-337005.051243367,-328506.4525342606,6351.6483154296875,2146.950393676758,-463.49725858891435,-69.50458633899689,-337538.0530882949,337005.03125,-0.019993367022834718,15.042724609375,37.77049255371094,True,21.253101599984802,False,26252
mean,cgb,5,10,19.402390799979912,4,0.16993148624897003,1.243874430656433,1.2555509805679321,1.1719329357147217,-337504.4949845407,-329302.598622236,6210.18798828125,1991.7083740234375,-497.95761482556975,-60.24966335296631,-338062.7022627192,337504.5,0.00501545931911096,890.0721435546875,405.72332763671875,True,19.402390799979912,False,17384
mean,cgb,6,10,20.071095000050263,5,0.17163603007793427,1.239259958267212,1.2511239051818848,0.9628437161445618,-337179.60669102566,-328596.151155137,6473.6038818359375,2109.8516540527344,-463.5198647704965,-68.85933101177216,-337711.9858868079,337179.625,0.018308974336832762,60.6485595703125,41.167816162109375,True,20.071095000050263,False,21802
mean,cgb,7,10,21.96557609998854,5,0.1700933575630188,1.237243413925171,1.2487878799438477,0.9353599548339844,-336454.8358496715,-328222.39355841174,6218.743408203125,2013.6988830566406,-463.92245961712507,-57.90411679446697,-336976.6624260831,336454.8125,-0.023349671508185565,15.9716796875,14.247650146484375,True,21.96557609998854,False,0
mean,cgb,8,10,19.348615399969276,4,0.1708429455757141,1.2395105361938477,1.2509684562683105,1.152554988861084,-336593.3637379834,-328571.316313667,6064.5709228515625,1957.4765014648438,-462.8981330367461,-59.13983154296875,-337115.4017025631,336593.375,0.011262016603723168,847.146240234375,391.0914306640625,True,19.348615399969276,False,17384
mean,cgb,9,10,21.219193800003268,6,0.17662890255451202,1.2376104593276978,1.249626874923706,0.8243445754051208,-336679.3713836641,-328356.69952392287,6247.263916015625,2075.407943725586,-466.6364120032511,-65.61657327413559,-337211.62436894147,336679.375,0.0036163359181955457,2.947021484375,0.0024871826171875,True,21.219193800003268,False,26252
mean,cgb,10,10,20.49888860003557,5,0.1763273924589157,1.2374075651168823,1.2494268417358398,0.9603181481361389,-336663.8910247837,-328324.69008179056,6244.2957763671875,2094.9051666259766,-462.41131198314935,-67.84263038635254,-337194.1449671532,336663.875,-0.016024783719331026,102.453857421875,85.68049621582031,True,20.49888860003557,False,21802
mean,cgb,11,10,18.34279270004481,4,0.1674446165561676,1.2343621253967285,1.2458646297454834,1.1356101036071777,-335828.0527946648,-327753.6650993523,6098.899658203125,1975.488037109375,-462.43624228091636,-62.477505683898926,-336352.96654262964,335828.03125,-0.021544664807152003,856.19677734375,392.365234375,True,18.34279270004481,False,17384
mean,cgb,12,10,18.34913650000817,4,0.1694876104593277,1.2406889200210571,1.2522484064102173,1.1519737243652344,-337014.03572885203,-328775.84371225047,6230.2984619140625,2007.8935546875,-464.51103325605766,-59.02895545959473,-337537.5757175677,337014.0,-0.03572885203175247,894.571044921875,402.39349365234375,True,18.34913650000817,False,17384
mean,cgb,13,10,21.081474599952344,5,0.19261866807937622,1.2375160455703735,1.2522492408752441,1.2547746896743774,-338184.3946258186,-328775.9727050422,7338.976318359375,2069.445602416992,-608.0657254492605,-79.36329033970833,-338871.82364160754,338184.4375,0.04287418141029775,33.353759765625,19.435592651367188,True,21.081474599952344,False,21802
mean,cgb,14,10,20.96242599998368,6,0.19419988989830017,1.229968547821045,1.2446846961975098,1.0193780660629272,-336716.9776300699,-327564.1514276773,7085.4091796875,2067.417022705078,-601.8137243269254,-78.98174461722374,-337397.773099014,336716.9375,-0.0401300698867999,10.740234375,15.57489013671875,True,20.96242599998368,False,26252
mean,cgb,15,10,21.44629089999944,6,0.17528511583805084,1.2357068061828613,1.2475742101669312,0.7904561161994934,-336285.1928127863,-328027.91823087714,6181.0115966796875,2076.262985229492,-464.6290450998323,-66.69405184313655,-336816.5159097293,336285.21875,0.025937213678844273,6.684326171875,0.0036773681640625,True,21.44629089999944,False,26252
mean,cgb,16,10,17.376384000031976,4,0.16964438557624817,1.2397969961166382,1.2513421773910522,1.1435434818267822,-336790.9794552401,-328631.04598356044,6159.6737060546875,2000.259765625,-462.75012074702397,-65.2248706817627,-337318.9544466689,336791.0,0.020544759870972484,868.3858642578125,395.5369873046875,True,17.376384000031976,False,17384
mean,cgb,17,10,19.957535800058395,5,0.17056216299533844,1.2399475574493408,1.2515395879745483,0.9202960729598999,-336797.71427608974,-328662.59583736904,6122.99658203125,2012.1218566894531,-464.0898394081742,-71.16491276025772,-337332.9690282582,336797.71875,0.004473910259548575,9.9462890625,14.44451904296875,True,19.957535800058395,False,21802
mean,cgb,18,10,21.410732299962547,6,0.17314413189888,1.2399309873580933,1.2518126964569092,0.7820540070533752,-336796.1719464247,-328706.24456300185,6039.7408447265625,2050.186538696289,-463.48287862218706,-65.71603947877884,-337325.37086452567,336796.1875,0.015553575300145894,30.3848876953125,31.4022216796875,True,21.410732299962547,False,26252
mean,cgb,19,10,18.459932800004026,4,0.18415550887584686,1.2395085096359253,1.252495527267456,1.3170746564865112,-337458.70903026266,-328815.29023753805,6611.737548828125,2031.6812438964844,-480.613672857945,-65.34330558776855,-338004.66600870836,337458.6875,-0.021530262660235167,873.56640625,409.77313232421875,True,18.459932800004026,False,17384
mean,cgb,20,10,20.895621899951948,4,0.17116853594779968,1.2380976676940918,1.2496421337127686,1.1472063064575195,-336548.47118195123,-328359.16075714654,6191.236083984375,1998.0743408203125,-461.4270057375093,-64.59234237670898,-337074.49053006544,336548.46875,-0.00243195123039186,842.4326171875,391.4818115234375,True,20.895621899951948,False,0
mean,cgb,21,10,19.820796299987705,4,0.16997869312763214,1.2400157451629639,1.2516825199127197,1.1637511253356934,-337006.41631834087,-328685.4348425108,6278.1854248046875,2042.7960510253906,-497.04642277776253,-65.49585819244385,-337568.95859931107,337006.40625,-0.010068340867292136,898.447998046875,410.54766845703125,True,19.820796299987705,False,17384
mean,cgb,22,10,21.401874400035013,6,0.17805354297161102,1.237196445465088,1.2492293119430542,0.8104419112205505,-336944.43187806173,-328293.06453797384,6491.298828125,2160.0685119628906,-466.7934995795068,-69.21239870786667,-337480.4377763491,336944.4375,0.005621938267722726,48.5087890625,39.04266357421875,True,21.401874400035013,False,26252
mean,cgb,23,10,19.13134419999551,4,0.16965657472610474,1.2380446195602417,1.2496061325073242,1.141706943511963,-336787.1168984324,-328353.3947609812,6387.28857421875,2046.4335632324219,-462.401672643716,-67.20786476135254,-337316.72643583745,336787.09375,-0.02314843237400055,871.1021728515625,411.49957275390625,True,19.13134419999551,False,17384
mean,cgb,24,10,21.495047500007786,6,0.1720903515815735,1.2379212379455566,1.2496757507324219,0.8065434694290161,-336677.64025569847,-328364.5362975686,6245.5419921875,2067.561965942383,-463.5106468179371,-69.28853534162045,-337210.439437858,336677.65625,0.01599430153146386,5.6962890625,8.547531127929688,True,21.495047500007786,False,26252
mean,cgb,25,10,21.318423799966695,6,0.1715683490037918,1.2392998933792114,1.25114107131958,0.7949733138084412,-336734.9207213599,-328598.89945060795,6098.126953125,2037.8943176269531,-464.9592423273523,-62.55945336818695,-337262.43941705546,336734.9375,0.016778640099801123,15.9010009765625,27.4215087890625,True,21.318423799966695,False,26252
mean,cgb,26,10,19.218401200021617,4,0.1686457246541977,1.2378249168395996,1.249294400215149,1.1445579528808594,-336205.6664093712,-328303.49502265244,5953.9573974609375,1948.2139892578125,-461.69954381197175,-60.86206245422363,-336728.2280156374,336205.65625,-0.010159371187910438,860.217041015625,388.909423828125,True,19.218401200021617,False,17384
mean,cgb,27,10,22.07916549994843,6,0.17546845972537994,1.2361420392990112,1.2482609748840332,0.8224045038223267,-336541.5851281773,-328137.9869378697,6278.337646484375,2125.260543823242,-467.53680210005183,-65.52539575099945,-337074.6473260284,336541.59375,0.008621822693385184,37.096435546875,48.41685485839844,True,22.07916549994843,False,26252
mean,cgb,28,10,21.54658130000462,6,0.1922735869884491,1.2337275743484497,1.2485761642456055,1.0531678199768066,-337572.928079968,-328188.4645637327,7318.7080078125,2065.7555084228516,-578.6899040637018,-67.56062939763069,-338219.17861342937,337572.9375,0.009420031972695142,8.410400390625,13.765228271484375,True,21.54658130000462,False,26252
mean,cgb,29,10,20.79415610001888,5,0.1701522320508957,1.238691806793213,1.250482439994812,0.9568888545036316,-336637.75553307025,-328493.6023043105,6118.6029052734375,2025.5503234863281,-464.28396025550205,-65.48039263486862,-337167.5198859606,336637.75,-0.005533070245292038,70.6793212890625,49.8240966796875,True,20.79415610001888,False,21802
mean,cgb,30,10,17.140466000011656,5,0.17349430918693542,1.2392529249191284,1.2510048151016235,0.9479116797447205,-336868.33289657143,-328577.1262010148,6247.920166015625,2043.2865295410156,-461.82674346076743,-70.53603261709213,-337400.6956726493,336868.34375,0.010853428568225354,34.312255859375,19.776641845703125,True,17.140466000011656,False,21802
mean,cold,1,30,15.711858999973629,4,0.08872510492801666,1.248033881187439,1.2513355016708374,0.01470968872308731,-332444.31007895805,-328629.9804585967,1814.2147827148438,2000.1148376464844,-711.1316314553198,-58.26089000701904,-333213.7026004204,332444.3125,0.002421041950583458,175.638916015625,393.6483154296875,True,15.711858999973629,True,70644
mean,cold,2,30,19.031260199961253,4,0.08410762995481491,1.2461885213851929,1.2486677169799805,0.0024641624186187983,-331923.35529087624,-328203.1341910227,1691.4581909179688,2028.7629089355469,-716.1417114754233,-64.08630657196045,-332703.58330892364,331923.34375,-0.011540876235812902,91.4095458984375,419.5645751953125,True,19.031260199961253,False,70644
mean,cold,3,30,21.323877200105926,4,0.08436401933431625,1.2439868450164795,1.2471582889556885,0.011780519969761372,-331712.9153842273,-327961.223276073,1785.2471923828125,1966.4449157714844,-721.79984738438,-64.06929588317871,-332498.78452749486,331712.875,-0.04038422729354352,148.05859375,386.6466979980469,True,21.323877200105926,False,70644
mean,cold,4,30,19.099403400032315,4,0.08414804935455322,1.2470252513885498,1.250255823135376,0.018174661323428154,-332342.4997898367,-328457.33774149686,1818.7601623535156,2066.401885986328,-722.4206967101311,-62.15714454650879,-333127.0776310933,332342.46875,-0.031039836700074375,167.91482543945312,418.64752197265625,True,19.099403400032315,False,70644
mean,cold,5,30,22.15349639992928,4,0.08049631863832474,1.2516306638717651,1.2545654773712158,0.01188942976295948,-332898.7893058655,-329145.5646964905,1762.2470092773438,1990.9776000976562,-717.3304654769246,-57.64505195617676,-333673.76482329855,332898.78125,-0.008055865473579615,110.0892333984375,405.2963562011719,True,22.15349639992928,False,70644
